"barrio","comunidad local","cuadra","sector","zona residencial","vecindario","comuna"
"escuela","colegio","institución educativa","salón de clases","aula","espacio escolar"
"calle","espacio público","vía","esquina","andén","zona peatonal"
"parque","zona verde","jardín público","área recreativa","plazoleta"
"centro cultural","casa de la cultura","espacio artístico","sala cultural","galería comunitaria"
"biblioteca","sala de lectura","espacio de libros","biblioteca pública","centro de documentación"
"cancha","espacio deportivo","zona de juego","cancha múltiple","campo de fútbol"
"plaza","plazoleta","sitio central","punto de encuentro","espacio comunitario"
"hogar","casa","vivienda","espacio íntimo","entorno familiar"
"vereda","zona rural","territorio campesino","corregimiento","área rural"
"mercado","plaza de mercado","feria","punto de comercio","espacio de intercambio"
"centro de salud","hospital","puesto de salud","clínica","espacio de atención médica"
"sala comunitaria","salón comunal","espacio colectivo","centro vecinal","sede social"
"evento","feria cultural","festival","encuentro","celebración colectiva"
"transporte","bus","metro","estación","movilidad urbana","punto de acceso"
"río","quebrada","fuente de agua","zona fluvial","ronda hídrica"
"montaña","cerro","colina","zona alta","espacio natural"
"espacio virtual","red social","plataforma digital","foro en línea","comunidad virtual"
"lugar simbólico","memoria histórica","punto de identidad","espacio con significado","territorio sagrado"
"espacio abandonado","lote vacío","infraestructura en desuso","edificio olvidado","zona recuperable"
