"cuento","historia","relato","narración","cuento corto","ficción","fábula"
"poesía","poema","verso","texto lírico","prosa poética","declamación"
"mural","grafiti","pintura mural","intervención callejera","arte urbano","pared intervenida"
"video","corto","documental","clip","audiovisual","producción visual","película casera"
"fotografía","foto","ensayo fotográfico","registro visual","serie de imágenes"
"podcast","audio","programa radial","narración sonora","entrevista grabada"
"instalación","obra interactiva","arte objeto","muestra artística","proyecto expositivo"
"charla","conversatorio","presentación","ponencia","espacio de diálogo"
"taller","sesión práctica","laboratorio","espacio formativo","actividad pedagógica"
"performance","acción artística","teatro en vivo","arte corporal","intervención performática"
"infografía","visual informativo","gráfico educativo","mapa visual","diseño explicativo"
"juego","dinámica","actividad lúdica","reto interactivo","propuesta gamificada"
"campaña","movilización","proyecto comunicativo","estrategia social","campaña educativa"
"publicación","fanzine","libro artesanal","revista","cuadernillo","manual"
"escultura","modelado","arte en 3D","objeto artístico","talla en madera"
"obra musical","canción","composición","pieza sonora","track","producción musical"
"teatro","obra teatral","escena","guion dramático","dramatización"
"coreografía","danza","baile","movimiento expresivo","rutina de baile"
"documentación","bitácora","memoria del proceso","registro del proyecto","archivo"
"cartografía","mapa comunitario","mapeo colectivo","territorio ilustrado","representación espacial"
"software","aplicación","programa digital","herramienta interactiva","desarrollo web"
"objeto","prototipo","diseño funcional","producto artesanal","creación tangible"
"eco-proyecto","huerta urbana","jardín comunitario","reutilización creativa","acción ecológica"
"acción simbólica","ritual colectivo","homenaje","acto conmemorativo","intervención espiritual"
"proyecto educativo","propuesta pedagógica","programa formativo","recurso didáctico"
"obra colectiva","proyecto en grupo","creación conjunta","pieza colaborativa","obra comunitaria"
