"medicina natural","plantas medicinales","remedios caseros","sabiduría botánica","curación tradicional"
"cocina ancestral","recetas de la abuela","alimentos del territorio","sabores de origen","comida tradicional"
"agricultura urbana","huerta casera","cultivo comunitario","siembra en la ciudad","autocultivo"
"historia del barrio","memoria oral","relatos locales","testimonios comunitarios","patrimonio barrial"
"construcción con tierra","arquitectura vernácula","bahareque","adobe","vivienda tradicional"
"música tradicional","instrumentos autóctonos","cantos del territorio","coplas","ritmos populares"
"artesanía local","manualidades típicas","oficio artesanal","tejido comunitario","trabajo con las manos"
"tecnologías ancestrales","saberes indígenas","formas sostenibles","sistemas tradicionales","herramientas de antes"
"formas de trueque","economía de intercambio","mercado local","valor simbólico","red solidaria"
"ritos y celebraciones","fiestas patronales","encuentros simbólicos","rituales del pueblo","memorias festivas"
"relación con la naturaleza","respeto por el entorno","armonía con el territorio","cuidado ambiental tradicional"
"oralidad","cuentería","verso hablado","saberes que no están en libros","sabiduría hablada"
"educación comunitaria","enseñanza entre vecinos","aprender en el barrio","escuela sin aulas","transmisión familiar"
"navegación territorial","mapas mentales","referencias locales","formas de orientarse","conocimiento del camino"
"saberes espirituales","conexión con los ancestros","prácticas sagradas","guía del alma","creencias del territorio"
