"papel","cartulina","hojas recicladas","papel bond","papel craft","papel ilustración"
"herramientas","tijeras","pegante","marcadores","lápices","regla","bisturí","cinta","ganchos","pinturas"
"tecnología","computador","tablet","cámara","micrófono","grabadora","internet","pantalla","proyector"
"personas aliadas","compañeros","equipo","amigos","tutores","mentores","facilitadores","colaboradores"
"tiempo","horas disponibles","momentos libres","jornadas","ratos tranquilos"
"espacios físicos","salón","aula","parque","galería","sala comunal","espacio al aire libre","espacio cerrado"
"recursos digitales","programas de edición","aplicaciones creativas","software libre","plataformas virtuales"
"material reciclado","botellas","cartón","tapitas","plástico usado","telas viejas","envases"
"material didáctico","guías","plantillas","instrucciones","cuadernillos","fichas"
"dinero","presupuesto","fondos","apoyo económico","recursos financieros"
"comunicación","redes sociales","difusión","carteles","invitaciones","altavoz"
"material audiovisual","cámara de video","luces","trípode","celular con buena cámara"
"acceso","permiso para usar el lugar","contacto con la comunidad","autorización","apertura institucional"
"alimentación","refrigerio","agua","frutas","alimento para los encuentros"
"transportes","movilidad","bicicleta","pasaje de bus","logística de traslado"
