"cuento con palabras aleatorias","historia improvisada","narrativa espontánea","crear a partir del azar"
"dibujo con ojos cerrados","ilustración intuitiva","reto visual sin mirar","dibujo a ciegas"
"transformar un objeto cotidiano","darle otro uso","reinterpretar lo ordinario","reimaginar objetos"
"crear desde una emoción","arte emocional","expresión desde lo que siento","dibujar un sentimiento"
"inventar una solución loca","propuesta improbable","idea absurda con sentido","solución creativa radical"
"expresar sin palabras","reto corporal","comunicación no verbal","dibujar sin escribir"
"crear con basura","ecocreación","arte reciclado","instalación con materiales de desecho"
"crear en equipo","co-creación","trabajo colectivo creativo","reto colaborativo"
"crear un personaje","inventar un ser","desarrollar una identidad ficticia","diseñar un alter ego"
"componer un sonido","hacer música con objetos","crear ritmos con el cuerpo","ritmo improvisado"
"construir una historia en 6 palabras","microficción","reto narrativo mínimo","cuento relámpago"
"recrear un recuerdo","narrar algo vivido","transformar memorias en arte","memoria ilustrada"
"reinterpretar una canción","versión libre","cover creativo","cambiarle el sentido a una letra"
"dibujar un sueño","pintar lo que soñaste","crear con lo onírico","visualizar un deseo dormido"
"crear con los sonidos del barrio","paisaje sonoro","documento auditivo","música urbana local"
"escribir desde un objeto","darle voz a una cosa","narrar como si fueras una piedra","perspectiva inesperada"
"hacer un meme con sentido crítico","humor reflexivo","memética creativa","meme social"
"inventa una nueva celebración","crear una festividad","ritual inventado","tradición ficticia"
"transformar una noticia","recontar lo real como cuento","ficcionalizar la actualidad","noticia inventada"
"hacer arte con el cuerpo","pintura corporal","performance gestual","movimiento expresivo"
"hacer una pregunta poderosa","preguntar lo que nadie se atreve","crear desde la duda","detonar reflexión"
"reutilizar ropa vieja en arte","moda reciclada","estética sostenible","vestuario intervenido"
"ilustrar un proverbio popular","imagen de un dicho","visualizar la sabiduría oral","refrán ilustrado"
"crear desde lo imposible","pensamiento mágico","fantasía desbordada","mundo alternativo"
"contar una historia sin personas","narrativa de objetos","relato inanimado","escena sin humanos"
