"falta de internet","no tengo conexión","no siempre me puedo conectar","internet inestable"
"miedo a hablar","vergüenza","inseguridad","temor de equivocarme","ansiedad social"
"no tener apoyo","estoy solo en esto","nadie me ayuda","me falta respaldo"
"no saber por dónde empezar","estoy perdido","necesito guía","no tengo claridad"
"falta de tiempo","muchas responsabilidades","no tengo espacio","vida ocupada"
"falta de materiales","no tengo recursos","no tengo con qué","me faltan herramientas"
"dificultades emocionales","no tengo ánimo","me siento bajoneado","estoy desmotivado"
"mala salud","dolores físicos","limitaciones corporales","condición médica"
"barreras del entorno","inseguridad en mi barrio","problemas familiares","entorno poco favorable"
"discriminación","me juzgan por quién soy","no me escuchan","exclusión"
