"un sueño","algo que imaginé","visión personal","mensaje onírico","deseo profundo"
"una injusticia","algo que me dolió","rabia transformada","realidad que quiero cambiar"
"un recuerdo","memoria de infancia","algo que viví","pasado significativo","historia familiar"
"una canción","letra que me marcó","melodía inspiradora","música que me mueve"
"una historia familiar","algo que vivió mi abuelo","experiencia de casa","saberes de mi sangre"
"el barrio","mi comunidad","lo que veo en mi entorno","cotidianidad del territorio"
"una imagen","fotografía potente","algo que vi","un símbolo"
"la naturaleza","un árbol","la montaña","el río","lo que me rodea"
"una conversación","alguien que me habló","algo que escuché","diálogo transformador"
"una persona referente","alguien que admiro","modelo a seguir","ejemplo de vida"
"una película","una escena que me marcó","un personaje poderoso","un mensaje visual"
"un poema","versos que tocan","palabras profundas","poesía que despierta"
"una charla","alguien que me habló","una historia compartida","una voz que me abrió los ojos"
"una protesta","una marcha","una causa que me mueve","acción colectiva que transforma"
"una experiencia espiritual","un momento de conexión","algo que sentí profundamente","intuición"
"una obra de arte","una pintura","una exposición","colores que me inspiran"
"una pregunta","una duda existencial","algo que no entiendo","curiosidad que empuja"
"un animal","mi mascota","un ave","vida silvestre","presencia no humana"
"una pérdida","un duelo","una ausencia","algo que ya no está","honrar lo que se fue"
"la risa","una conversación divertida","el humor","una anécdota graciosa"
"un error","un fracaso","algo que salió mal","una equivocación que enseñó"
"un paisaje","la montaña","el río","la ciudad desde lo alto","lo que veo al caminar"
"una canción infantil","música de infancia","ronda","ritmo que me recuerda"
"una carta","palabras escritas para mí","mensaje de otra época","texto guardado"
"una historia de resiliencia","alguien que se levantó","resistencia cotidiana","ejemplo de lucha"
"una metáfora","una imagen poética","frase que lo dice todo","símbolo poderoso"
