"Frida Kahlo","pintura expresiva","autorretrato","dolor transformado en arte"
"Leonardo Da Vinci","inventor renacentista","curiosidad infinita","arte y ciencia"
"tecnología indígena","sabiduría ancestral","sistemas tradicionales","conocimiento nativo"
"arte callejero","muralismo","grafiti","expresión urbana","intervención del espacio público"
"pedagogía popular","Paulo Freire","educación como práctica de libertad","diálogo horizontal"
"Bauhaus","diseño funcional","arte moderno","interdisciplinariedad"
"Banksy","activismo visual","arte anónimo","crítica social"
"bell hooks","interseccionalidad","feminismo crítico","educación radical"
"María Sabina","medicina ancestral","poesía espiritual","sabiduría mazateca"
"hip hop","cultura urbana","freestyle","rap conciencia","movimiento cultural"
"Patti Smith","punk poético","arte rebelde","poesía sonora"
"afrofuturismo","imaginación radical","futuro negro","ciencia ficción africana"
"ecoarte","conciencia ambiental","arte sostenible","naturaleza como inspiración"
"ciencia ciudadana","datos colaborativos","investigación participativa","saber abierto"
"Rafael Lozano-Hemmer","arte interactivo","tecnología y participación","instalaciones de luz","datos y cuerpos"
"Olafur Eliasson","arte sensorial","naturaleza y percepción","luz y espacio","experiencias inmersivas"
"Nam June Paik","videoarte pionero","arte con televisión","electrónica creativa","medios alternativos"
"Bill Viola","video lento","espiritualidad visual","instalación emocional","arte contemplativo"
"Joan Jonas","performance y video","arte corporal","narración experimental","video arte feminista"
"Collectif Fact","realidad aumentada","videoarte urbano","crítica visual","paisaje digital"
"Forensic Architecture","investigación visual","arte como evidencia","video y geopolítica","justicia a través del arte"
"Colectivo Basurama","arte con residuos","intervención urbana","crítica al consumo","diseño colectivo"
"Colectivo Cambalache","trueque de saberes","comercio simbólico","economía alternativa","acción barrial"
"Laboratorio Escénico Univalle","teatro experimental","movimiento universitario","creación colectiva","performance política"
"Cine sin Autor","video comunitario","proceso participativo","cine colaborativo","obra sin director"
"La Decanatura","arte crítico","intervención curatorial","diseño expandido","activismo cultural"
"Videobrasil","festival de videoarte","arte del sur global","video y política","experiencia expandida"
"mapeo","videomapping","proyección sobre espacios","transformación de fachadas","arte digital en vivo"
"interacción en tiempo real","arte generativo","sensores y movimiento","feedback creativo","procesos automatizados"
"cultura maker","DIY","hazlo tú mismo","tecnología creativa","fabricación comunitaria"
"bioarte","arte con células","vida como materia","cruce ciencia-arte","instalaciones biológicas"
"net art","arte en internet","navegación creativa","espacios virtuales","redes como lienzo"
