"violencia","inseguridad","conflictos armados","agresiones","delincuencia"
"desigualdad","injusticia social","brechas sociales","pobreza","exclusión"
"falta de acceso a la educación","deserción escolar","educación limitada","analfabetismo","pocas oportunidades de estudio"
"desempleo","falta de trabajo","pocas oportunidades laborales","crisis económica","subempleo"
"violencia de género","machismo","discriminación hacia las mujeres","agresiones sexistas"
"problemas ambientales","contaminación","deforestación","basura","crisis ecológica"
"racismo","discriminación racial","exclusión étnica","prejuicios raciales"
"homofobia","discriminación LGBTIQ+","intolerancia sexual","violencia por identidad"
"falta de espacios culturales","ausencia de arte","escasez de oferta cultural","déficit de formación artística"
"pobreza extrema","carencia de recursos","condiciones precarias","necesidades básicas insatisfechas"
"problemas de salud mental","depresión","ansiedad","aislamiento","falta de acompañamiento psicológico"
"desplazamiento forzado","conflicto armado","migración obligada","pérdida del territorio"
"acceso limitado a la tecnología","brecha digital","falta de internet","exclusión digital"
"falta de participación ciudadana","apatía social","desconexión comunitaria","poca organización colectiva"
"abandono estatal","falta de inversión pública","gobernabilidad débil","negligencia institucional"
"problemas de movilidad","transporte deficiente","congestión","accesibilidad limitada"
"corrupción","mala gestión pública","clientelismo","impunidad"
"maltrato infantil","abuso de menores","violencia intrafamiliar","desprotección infantil"
"consumo de sustancias","adicciones","drogadicción","alcoholismo","consumo problemático"
"desconocimiento de derechos","falta de formación ciudadana","violación de derechos","poca educación legal"
