"justicia","equidad","igualdad","trato digno","hacer lo correcto"
"alegría","entusiasmo","gozo de vivir","buen humor","placer creativo"
"libertad","autonomía","decidir por mí mismo","independencia de pensamiento"
"respeto","valorar al otro","escuchar sin juzgar","reconocer diferencias"
"comunidad","lo colectivo","lo que hacemos juntos","vínculos con otros"
"autenticidad","ser yo mismo","honestidad emocional","expresarme sin máscaras"
"creatividad","pensar diferente","producir belleza","imaginar posibilidades"
"cuidado","atención","sensibilidad","proteger lo valioso","acompañar con amor"
"compromiso","constancia","cumplir con lo que propongo","ser parte activa"
"esperanza","confianza en el cambio","visión de futuro","soñar con lo posible"
"solidaridad","apoyar al otro","estar cuando se necesita","generosidad colectiva","ayudar sin esperar"
"coherencia","actuar como pienso","ser congruente","alinear lo que digo con lo que hago"
"valentía","atreverse","no tener miedo a ser","enfrentar desafíos","coraje interior"
"humildad","reconocer mis límites","aprender de otros","bajar el ego"
"pertenencia","sentirme parte","arraigo","identidad comunitaria","estar conectado con mi gente"
"diversidad","valorar las diferencias","inclusión","pluralidad de voces","múltiples formas de ser"
"empatía","ponerse en el lugar del otro","sentir con el otro","conexión emocional"
"gratitud","agradecer","reconocer lo recibido","valorar lo que tengo"
"transformación","crecimiento personal","evolución constante","aprender del cambio"
"resiliencia","capacidad de levantarse","fortaleza emocional","adaptación creativa"
"sororidad","apoyo entre mujeres","feminismo solidario","acompañamiento entre iguales"
"autonomía","independencia","autorregulación","ser libre para decidir"
"transparencia","ser claro","no ocultar","comunicación sincera"
"dignidad","respeto por uno mismo","autoestima colectiva","valer como soy"
"ternura","cuidado suave","expresión afectiva","gesto amable"
